"Year","Month","Day","Site.Name","COUNTY","meanLatitude","meanLongtiude","PM2.5","Ozone"
"2018","01","07","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,47,31
"2018","01","07","Hattie Avenue","Forsyth",36.110693332,-80.2264378,28,NA
"2018","01","07","Leggett","Edgecombe",35.988278,-77.5843,15,NA
"2018","01","07","Mendenhall School","Guilford",36.1090060008986,-79.802314,38,NA
"2018","01","07","Millbrook School","Wake",35.856111,-78.574167,48,34
"2018","01","07","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,18,NA
"2018","01","07","West Johnston Co.","Johnston",35.59095,-78.4622,27,NA
"2018","01","08","Bryson City","Swain",35.434767,-83.442133,71,NA
"2018","01","08","Castle Hayne","New Hanover",34.364167,-77.838611,11,NA
"2018","01","08","Clemmons Middle","Forsyth",36.026,-80.342,52,NA
"2018","01","08","Durham Armory","Durham",36.0329550008979,-78.904037,34.5,NA
"2018","01","08","Frying Pan Mountain","Haywood",35.379167,-82.7925,3,NA
"2018","01","08","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,53,16
"2018","01","08","Hattie Avenue","Forsyth",36.110693332,-80.2264378,40,NA
"2018","01","08","Leggett","Edgecombe",35.988278,-77.5843,40,NA
"2018","01","08","Linville Falls","Avery",35.972347,-81.933072,22,NA
"2018","01","08","Mendenhall School","Guilford",36.1090060008986,-79.802314,44,NA
"2018","01","08","Millbrook School","Wake",35.856111,-78.574167,42.5,27
"2018","01","08","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,31,NA
"2018","01","08","West Johnston Co.","Johnston",35.59095,-78.4622,38,NA
"2018","01","09","Bryson City","Swain",35.434767,-83.442133,78,NA
"2018","01","09","Castle Hayne","New Hanover",34.364167,-77.838611,20,NA
"2018","01","09","Clemmons Middle","Forsyth",36.026,-80.342,60,NA
"2018","01","09","Durham Armory","Durham",36.0329550008979,-78.904037,49,NA
"2018","01","09","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,53,28
"2018","01","09","Hattie Avenue","Forsyth",36.110693332,-80.2264378,54,NA
"2018","01","09","Leggett","Edgecombe",35.988278,-77.5843,19,NA
"2018","01","09","Mendenhall School","Guilford",36.1090060008986,-79.802314,43,NA
"2018","01","09","Millbrook School","Wake",35.856111,-78.574167,35,30
"2018","01","09","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,31,NA
"2018","01","09","West Johnston Co.","Johnston",35.59095,-78.4622,43,NA
"2018","01","10","Bryson City","Swain",35.434767,-83.442133,56,NA
"2018","01","10","Castle Hayne","New Hanover",34.364167,-77.838611,14,NA
"2018","01","10","Clemmons Middle","Forsyth",36.026,-80.342,39,NA
"2018","01","10","Durham Armory","Durham",36.0329550008979,-78.904037,39,NA
"2018","01","10","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,38,31
"2018","01","10","Hattie Avenue","Forsyth",36.110693332,-80.2264378,32,NA
"2018","01","10","Leggett","Edgecombe",35.988278,-77.5843,35,NA
"2018","01","10","Mendenhall School","Guilford",36.1090060008986,-79.802314,29,NA
"2018","01","10","Millbrook School","Wake",35.856111,-78.574167,22,33
"2018","01","10","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,37,NA
"2018","01","10","West Johnston Co.","Johnston",35.59095,-78.4622,35,NA
"2018","01","11","Bryson City","Swain",35.434767,-83.442133,17,NA
"2018","01","11","Castle Hayne","New Hanover",34.364167,-77.838611,12,NA
